timestamp,xtime,event
48074617,14,84
48076439,49,81
48076489,10,85
48077429,196,80
48077626,657,82
48078284,33,83
48078318,227,86
48079456,73,84
48080443,165,80
48080609,41,81
48081445,65,82
48082442,33,83
48083409,144,80
48083554,13,86
48083568,27,85
48084446,19,81
48084466,14,84
48085442,57,82
48086448,160,80
48087440,31,83
48088438,43,81
48089440,200,80
48089641,2787,34
48092431,111,80
48092543,40,81
48092584,100,82
48092685,29,83
48092715,71,84
48092787,213,86
48093001,26,85
48093028,196,72
48093441,60,82
48094313,38,88
48094442,15,84
48095455,187,80
48095643,14,86
48095658,90,87
48096442,42,81
48097440,510,82
48097951,31,83
48097983,15,85
48098451,165,80
48099454,72,84
48100451,42,81
48101465,177,80
48101643,66,82
48101710,216,86
48102439,32,83
48104471,159,80
48104631,41,81
48104673,14,84
48104688,10,85
48105435,58,82
48107440,125,80
48107566,29,83
48107596,14,86
48108444,12,81
48109458,971,34
48110432,159,80
48110592,1836,34
48112431,49,81
48112481,77,82
48112559,30,83
48112590,71,84
48112663,26,85
48113447,193,80
48113641,57,82
48113699,217,86
48114452,13,84
48116449,158,80
48116608,42,81
48117451,515,82
48117967,32,83
48118442,16,85
48119440,124,80
48119566,72,84
48119639,206,86
48120445,13,81
48121442,59,82
48122442,178,80
48122621,32,83
48124458,42,81
48124501,14,84
48125472,182,80
48125656,65,82
48125722,14,86
48125737,10,85
48127439,45,83
48128458,158,80
48128617,42,81
48129439,511,82
48129951,72,84
48131458,130,80
48131589,220,86
48132465,13,81
48132479,31,83
48132511,27,85
48133439,58,82
48134458,159,80
48134618,14,84
48136440,42,81
48137433,198,80
48137633,2795,34
48140431,104,80
48140536,40,81
48140577,92,82
48140670,30,83
48140701,72,84
48140774,213,86
48140988,27,85
48141255,40,88
48141439,57,82
48142452,30,83
48143458,205,80
48143664,14,86
48144439,48,81
48144488,14,84
48145452,498,82
48146448,158,80
48146608,15,85
48147442,32,83
48148451,42,81
48149463,182,80
48149646,65,82
48149712,77,84
48149790,219,86
48152440,175,80
48152616,40,81
48152657,36,83
48153461,64,82
48153526,10,85
48154452,14,84
48155439,135,80
48155575,14,86
48156447,13,81
48157439,990,34
48158432,172,80
48158605,1823,34
48160431,49,81
48160481,214,82
48160696,29,83
48160726,72,84
48160799,27,85
48161442,179,80
48161622,58,82
48161681,217,86
48162443,43,83
48164440,171,80
48164612,42,81
48164655,14,84
48165452,499,82
48167440,116,80
48167558,29,83
48167588,213,86
48167803,15,85
48168452,16,81
48169458,62,82
48169521,72,84
48170445,162,80
48172463,41,81
48172505,30,83
48173440,191,80
48173632,65,82
48173698,14,86
48174449,14,84
48174464,10,85
48176449,159,80
48176609,41,81
48177440,513,82
48177954,29,83
48179465,136,80
48179602,69,84
48179672,214,86
48180440,13,81
48181454,65,82
48181520,27,85
48182442,166,80
48182609,31,83
48184439,48,81
48184488,14,84
48185448,193,80
48185642,2786,34
48188431,111,80
48188543,40,81
48188584,107,82
48188692,29,83
48188722,214,86
48188937,15,85
48189440,68,82
48189509,73,84
48191254,40,88
48191440,170,80
48191611,13,86
48192454,41,81
48192496,30,83
48193439,506,82
48194439,165,80
48194606,69,84
48195439,14,39
48195454,41,85
48195496,87,87
48196452,46,81
48197472,178,80
48197651,66,82
48197718,31,83
48197750,218,86
48199423,16,84
48200439,165,80
48200605,41,81
48201452,64,82
48202439,13,37
48202453,30,83
48202484,9,85
48203439,118,80
48203558,14,86
48204458,13,81
48204472,14,84
48205439,990,34
48206432,159,80
48206592,1836,34
48208431,42,81
48208474,51,82
48208526,29,83
48209452,217,80
48209670,68,82
48209739,73,84
48209813,218,86
48210032,26,85
48212440,171,80
48212612,42,81
48212655,31,83
48213451,498,82
48214452,72,84
48215439,119,80
48215559,206,86
48216446,20,81
48216467,27,85
48217458,58,82
48217517,30,83
48218451,159,80
48219459,14,84
48220439,42,81
48221448,191,80
48221640,65,82
48221706,14,86
48222446,30,83
48223439,11,85
48224457,159,80
48224617,41,81
48224659,14,84
48225443,1994,34
48227440,127,80
48227568,860,34
48228431,14,81
48228446,147,82
48228594,30,83
48228625,206,86
48229448,65,82
48229514,72,84
48230449,163,80
48230613,27,85
48232451,42,81
48232494,31,83
48233464,180,80
48233645,497,82
48234143,206,86
48234433,73,84
48236439,165,80
48236605,42,81
48237465,58,82
48237524,31,83
48237556,27,85
48239458,127,80
48239586,14,84
48239601,14,86
48240439,13,81
48241254,40,88
48241439,58,82
48242458,158,80
48242617,30,83
48244445,55,81
48244501,14,84
48244516,10,85
48245464,178,80
48245643,506,82
48246150,206,86
48247439,62,83
48248458,158,80
48248617,42,81
48249465,58,82
48249524,72,84
48251466,97,80
48251564,13,86
48251578,27,85
48252458,13,81
48252472,31,83
48253439,58,82
48254449,158,80
48254608,14,84
48256438,43,81
48257440,199,80
48257640,2788,34
48260431,103,80
48260536,40,81
48260577,95,82
48260673,30,83
48260704,70,84
48260775,213,86
48260989,27,85
48261439,59,82
48262439,32,83
48263455,182,80
48263638,14,86
48264449,41,81
48264491,14,84
48265449,495,82
48265945,15,85
48266439,159,80
48267439,30,83
48268447,42,81
48269467,178,80
48269646,66,82
48269713,72,84
48269786,215,86
48272446,184,80
48272631,40,81
48272672,32,83
48272705,10,85
48273440,58,82
48274442,15,84
48275443,136,80
48275581,13,86
48276448,13,81
48277442,987,34
48278432,159,80
48278592,1836,34
48280431,42,81
48280474,89,82
48280564,28,83
48280593,72,84
48280666,27,85
48281440,202,80
48281643,68,82
48281712,217,86
48282439,30,83
48284440,172,80
48284613,41,81
48284655,14,84
48285454,499,82
48286452,15,85
48287461,113,80
48287575,28,83
48287604,206,86
48288442,13,81
48289442,65,82
48289508,72,84
48290445,159,80
48291254,40,88
48292442,49,81
48292492,31,83
48293440,198,80
48293639,65,82
48293705,14,86
48293720,10,85
48294439,15,84
48295440,108,87
48296448,159,80
48296608,41,81
48297442,653,82
48298096,28,83
48299465,132,80
48299598,84,84
48299683,225,86
48300453,12,81
48300467,26,85
48301439,62,82
48302439,165,80
48302605,30,83
48304453,42,81
48304496,14,84
48305465,179,80
48305645,2783,34
48308431,103,80
48308536,40,81
48308577,99,82
48308677,29,83
48308707,213,86
48308921,15,85
48309440,64,82
48309505,73,84
48311480,173,80
48311654,14,86
48312439,48,81
48312488,32,83
48313451,498,82
48314465,158,80
48314624,69,84
48314694,27,85
48316451,42,81
48317471,178,80
48317650,66,82
48317717,31,83
48317749,218,86
48319452,14,84
48320448,159,80
48320608,41,81
48321449,64,82
48321515,10,85
48322442,29,83
48323449,144,80
48323594,18,86
48324439,20,81
48324460,17,84
48325451,978,34
48326432,163,80
48326597,1836,34
48328436,49,81
48328486,119,82
48328606,29,83
48328636,15,85
48329440,199,80
48329640,58,82
48329699,72,84
48329772,218,86
48332440,177,80
48332618,41,81
