timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
15929942,0.00079663284,-0.0014694509,0.002017267,3747,0,0.034773264,-0.051097505,-9.788902,3747,0
15934186,0.0024032986,-0.0011748974,0.0030660424,4244,0,0.0023256692,-0.0016679671,-9.787039,4244,0
15937746,0.0021660612,0.0010483888,0.0012946577,3560,0,0.023853017,0.014444219,-9.803169,3560,0
15942720,0.0001940866,0.0015336265,-0.002574982,4974,0,0.042086534,-0.03280212,-9.823849,4974,0
15946221,0.0030562289,-0.00079282565,-0.0012585323,3501,0,0.017446835,-0.04666453,-9.81159,3501,0
15949759,0.005123559,0.00046148017,0.0023939903,3538,0,0.039175656,-0.0447383,-9.777012,3538,0
15954602,-4.2843363e-05,-0.00012734682,0.0012763178,4843,0,0.031866234,-0.06333376,-9.772674,4843,0
15957745,-0.0008685156,-0.002966676,0.0003308449,3143,0,-0.015253256,-0.07005908,-9.751068,3143,0
15961706,-0.0029669378,-0.0031593645,-0.0003376078,3961,0,-0.018819626,-0.01701675,-9.730068,3961,0
15966608,-0.00012777073,-0.002724463,-0.0013969766,4902,0,-0.0041810954,-0.020200253,-9.774336,4902,0
15969860,0.0032986696,-0.0007466856,-0.00027763413,3252,0,0.012184618,-0.0008129906,-9.794942,3252,0
15973712,-0.00037378666,0.0031682712,-0.0032862485,3852,0,0.044738382,0.032660082,-9.815075,3852,0
15978717,0.002691022,0.0019907663,-0.005276039,5005,0,0.039274223,-0.017585147,-9.846978,5005,0
15981738,0.0021184704,2.299774e-05,-0.0030249555,3021,0,0.024555448,-0.015613906,-9.826157,3021,0
15985855,-0.0006737514,-0.0004933928,-0.0010944554,4117,0,0.027199827,-0.012676913,-9.792486,4117,0
15990553,0.00039061945,-0.0029091323,0.002421136,4698,0,0.027247174,-0.022863315,-9.792603,4698,0
15993799,0.0012438407,0.00012252321,0.0013465538,3246,0,0.035549372,-0.047135778,-9.823074,3246,0
15997819,0.0025448785,0.00044683606,-0.0015985423,4020,0,0.046037674,-0.06395795,-9.822044,4020,0
16002742,0.0018716352,-0.0021829086,-0.0005261707,4923,0,0.019132506,-0.021673448,-9.801212,4923,0
16005972,-0.00138075,-0.00061570934,-0.0014314366,3230,0,0.0019673365,-0.0035966393,-9.786297,3230,0
16010043,-0.002123147,0.0026034364,-0.0017991115,4071,0,-0.008639058,-0.025394125,-9.778725,4071,0
16014645,0.001746984,0.0018089426,-0.003221542,4602,0,-0.014936305,-0.024620436,-9.785099,4602,0
16018026,0.0020986479,-0.0033355956,-0.000425673,3381,0,-0.015014398,-0.030478856,-9.8022175,3381,0
16022134,0.00041681848,-0.0035962763,0.0037617944,4108,0,-0.014807856,-0.0534946,-9.807076,4108,0
16026690,0.0005485932,0.00041154088,0.0022585152,4556,0,0.017782813,-0.055456206,-9.793558,4556,0
16030310,-0.0023680637,0.00081870693,-1.743417e-05,3620,0,-0.005889019,-0.020938184,-9.777254,3620,0
16034284,-0.002776646,-0.00061969296,0.00014176281,3974,0,-0.007015843,-0.006899094,-9.779356,3974,0
16038697,-0.0017320999,2.7286495e-05,0.0008479651,4413,0,0.014555905,-0.017234916,-9.777294,4413,0
16042568,-0.00032205522,0.00058874884,0.0034960473,3871,0,-0.024555214,-0.018051002,-9.818657,3871,0
16046591,0.003438094,0.00089057477,0.004318488,4023,0,-0.016935337,-0.015746288,-9.826159,4023,0
16050643,0.0025629015,-0.00059065974,-0.0015015717,4052,0,0.028222606,-0.01993698,-9.79528,4052,0
16054477,-0.00037065073,-0.0011136526,-0.00030750307,3834,0,0.00968082,-0.0043888614,-9.782631,3834,0
16058636,-0.0018713049,0.0020178477,0.0033542002,4159,0,-0.00998991,1.627579e-05,-9.785297,4159,0
